Experiment: sswce_patch8_base_eda_boost_ppg_temp
Description: Sensitivity-specificity weighted loss with ACC+EDA baseline and BVP+HR+TEMP add-on.
Started: 2026-07-04T12:14:29
Max sessions: 146
Epochs: 24
Batch size: 64
======================================================================
SEIZURE DETECTION PIPELINE - Full Training Run
======================================================================
Timestamp: 2026-07-04T12:14:39.129122
Base path: C:\I2I
Output directory: C:\I2I\seizure_detection\outputs
GPU available: False

======================================================================
PHASE 1: Data Health Check
======================================================================
======================================================================
DEEP DATA ANALYSIS - Empatica E4 Seizure Detection Dataset
======================================================================

Label policy: patient .txt files are parsed as seizure onsets; offset = onset + 300s and overlapping intervals are merged with gap <= 0s (override with SEIZURE_DURATION_SECONDS and SEIZURE_MERGE_GAP_SECONDS).
Phase 1 duration policy: fast header-only scan using 129600s conservative session span; Phase 2 uses actual selected-session samples.

Loaded Phase 1 metadata cache: C:\I2I\seizure_detection\outputs\cache\phase1_health_bd85af037075ec6cbaad3b79c4c28991e9a66a6b96cf8987cc0bebafcd54e067.json

======================================================================
GLOBAL SUMMARY
======================================================================
  Patients: 5
  Total sessions: 1119
  Valid sessions: 1118
  Estimated recording: 40248.0 hours
  Total raw seizure onset rows: 373
  Total merged seizure episodes: 350

  Sessions with possible seizure overlap: 283

======================================================================
PHASE 2: Data Generator
======================================================================

Smart session selection:
  Total sessions: 1118
  Sessions with actual seizure overlap: 214
  Sessions without actual seizure overlap: 904
  Selected: 146 sessions
Found 146 selected valid sessions
Using 146 sessions (max: 146)
Batch size: 64, Epochs: 24, Window: 160 samples (5.0s), Stride: 160 samples (5.0s)

Patient-held-out splits:
  Train: 121 sessions (91 with seizures)
  Val: 11 sessions (6 with seizures)
  Test: 14 sessions (5 with seizures)

Split audit:
  Train: 121 sessions, 91 seizure sessions, 127 seizure episodes | patients: Mayo_1876:23, Mayo_1904:19, Mayo_1965:79
  Val: 11 sessions, 6 seizure sessions, 7 seizure episodes | patients: Mayo_1869:11
  Test: 14 sessions, 5 seizure sessions, 6 seizure episodes | patients: Mayo_1110:14

Building train split from 121 held-out sessions...

Preparing dataset from 121 sessions...
  Using 7 CPU cores for parallel processing
  Window size: 160, Stride: 160
  [1/121] 1590830169_A025A1: 16324 windows, 61 seizure | ETA: 119.6 min
  [2/121] 1595998432_A025A1: 17750 windows, 122 seizure | ETA: 60.2 min
  [3/121] 1596347269_A025A1: 17558 windows, 61 seizure | ETA: 40.0 min
  [4/121] 1604152715_A02848: 21802 windows, 61 seizure | ETA: 31.6 min
  [5/121] 1608125010_A01BFB: 24396 windows, 122 seizure | ETA: 25.7 min
  [6/121] 1588477070_A02848: 25836 windows, 122 seizure | ETA: 21.6 min
  [7/121] 1591753553_A029FA: 33956 windows, 61 seizure | ETA: 20.2 min
  [8/121] 1601017833_A025F0: 17153 windows, 61 seizure | ETA: 17.6 min
  [9/121] 1603258954_A025F0: 15844 windows, 61 seizure | ETA: 15.7 min
  [10/121] 1599900171_A025F0: 14622 windows, 0 seizure | ETA: 14.8 min
  [11/121] 1598076920_A025A1: 18428 windows, 183 seizure | ETA: 13.6 min
  [12/121] 1607843408_A025E5: 16804 windows, 0 seizure | ETA: 12.7 min
  [13/121] 1578665811_A029FA: 9164 windows, 0 seizure | ETA: 11.7 min
  [14/121] 1596988315_A01BFB: 27732 windows, 133 seizure | ETA: 11.0 min
  [15/121] 1583216644_A025F0: 15385 windows, 61 seizure | ETA: 10.3 min
  [16/121] 1580626517_A025F0: 17580 windows, 61 seizure | ETA: 9.8 min
  [17/121] 1606201290_A025F0: 17711 windows, 61 seizure | ETA: 9.8 min
  [18/121] 1587088014_A02535: 17941 windows, 126 seizure | ETA: 9.3 min
  [19/121] 1595314316_A025A1: 15662 windows, 61 seizure | ETA: 8.9 min
  [20/121] 1581213160_A029FA: 17436 windows, 0 seizure | ETA: 8.4 min
  [21/121] 1593683074_A025F0: 15261 windows, 0 seizure | ETA: 8.0 min
  [22/121] 1594541122_A025F0: 15843 windows, 61 seizure | ETA: 7.7 min
  [23/121] 1585031716_A025A1: 16794 windows, 61 seizure | ETA: 7.5 min
  [24/121] 1583467594_A029FA: 17907 windows, 0 seizure | ETA: 7.7 min
  [25/121] 1583473469_A025A1: 15001 windows, 0 seizure | ETA: 7.5 min
  [26/121] 1593761527_A025A1: 17852 windows, 61 seizure | ETA: 7.1 min
  [27/121] 1597378534_A02535: 17553 windows, 0 seizure | ETA: 7.0 min
  [28/121] 1582008418_A025F0: 16510 windows, 122 seizure | ETA: 6.8 min
  [29/121] 1587195314_A025F0: 17481 windows, 137 seizure | ETA: 6.7 min
  [30/121] 1581171517_A02535: 8192 windows, 61 seizure | ETA: 6.5 min
